"26.05.2025 23:30";"7.0";"971.1";"1004.1";"87";"Штиль, безветрие";"0";"";"";"";"Нет существенной облачности";"10.0 и более";"5.0";
"26.05.2025 23:00";"7.0";"971.1";"1004.1";"87";"Штиль, безветрие";"0";"";"";"";"Нет существенной облачности";"10.0 и более";"5.0";
"26.05.2025 22:30";"7.0";"971.1";"1004.1";"87";"Ветер, дующий с западо-юго-запада";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"5.0";
"26.05.2025 22:00";"8.0";"971.3";"1004.1";"87";"Ветер, дующий с юга";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"6.0";
"26.05.2025 21:30";"8.0";"971.3";"1004.1";"87";"Ветер, дующий с юго-юго-запада";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"6.0";
"26.05.2025 21:00";"9.0";"971.4";"1004.1";"82";"Ветер, дующий с юго-запада";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"6.0";
"26.05.2025 20:30";"9.0";"971.4";"1004.1";"82";"Ветер, дующий с западо-юго-запада";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"6.0";
"26.05.2025 20:00";"9.0";"971.4";"1004.1";"82";"Ветер, дующий с запада";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"6.0";
"26.05.2025 19:30";"10.0";"971.5";"1004.1";"76";"Ветер, дующий с запада";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"6.0";
"26.05.2025 19:00";"10.0";"971.5";"1004.1";"82";"Ветер, дующий с запада";"4";"";"";"";"Разорванная (60-90%) 960 м";"10.0 и более";"7.0";
"26.05.2025 18:30";"10.0";"971.5";"1004.1";"76";"Ветер, дующий с запада";"5";"";"";"";"Разорванная (60-90%) 960 м, кучево-дождевые облака";"10.0 и более";"6.0";
"26.05.2025 18:00";"10.0";"971.5";"1004.1";"82";"Ветер, дующий с запада";"5";"";"";"";"Рассеянная (40-50%) 1020 м, кучево-дождевые облака";"10.0 и более";"7.0";
"26.05.2025 17:30";"10.0";"971.5";"1004.1";"82";"Ветер, дующий с запада";"6";"";"";"";"Рассеянная (40-50%) 1110 м, кучево-дождевые облака";"10.0 и более";"7.0";
"26.05.2025 17:00";"10.0";"970.5";"1003.0";"82";"Ветер, дующий с западо-северо-запада";"8";"";"";"";"Разорванная (60-90%) 510 м, кучево-дождевые облака";"10.0 и более";"7.0";
"26.05.2025 16:30";"10.0";"970.5";"1003.0";"88";"Ветер, дующий с северо-запада";"5";"";"";"";"Рассеянная (40-50%) 330 м, кучево-дождевые облака";"10.0 и более";"8.0";
"26.05.2025 16:00";"10.0";"969.5";"1002.1";"88";"Ветер, дующий с западо-северо-запада";"7";"";"";"";"Незначительная (10-30%) 210 м, рассеянная (40-50%) 660 м, кучево-дождевые облака";"10.0 и более";"8.0";
"26.05.2025 15:30";"9.0";"970.3";"1003.0";"94";"Ветер, дующий с западо-северо-запада";"7";"";"Слабый(ая)(ые) ливень (ливни), дождь";"";"Рассеянная (40-50%) 840 м, кучево-дождевые облака";"10.0 и более";"8.0";
"26.05.2025 15:00";"10.0";"970.5";"1003.0";"82";"Ветер, дующий с западо-северо-запада";"13";"";"Слабый(ая)(ые) ливень (ливни), дождь";"";"Разорванная (60-90%) 630 м, кучево-дождевые облака";"8.0";"7.0";
"26.05.2025 14:30";"14.0";"969.0";"1001.0";"59";"Ветер, дующий с запада";"11";"";"";"";"Рассеянная (40-50%) 1020 м, кучево-дождевые облака";"10.0 и более";"6.0";
"26.05.2025 14:00";"16.0";"969.3";"1001.0";"55";"Ветер, дующий с западо-северо-запада";"7";"";"";"";"Нет существенной облачности";"10.0 и более";"7.0";
"26.05.2025 13:30";"17.0";"968.5";"1000.1";"49";"Ветер, дующий с западо-северо-запада";"6";"";"";"";"Рассеянная (40-50%) 1230 м, кучево-дождевые облака";"10.0 и более";"6.0";
"26.05.2025 13:00";"17.0";"969.4";"1001.0";"56";"Ветер, дующий с запада";"8";"";"";"";"Рассеянная (40-50%) 1170 м, кучево-дождевые облака";"10.0 и более";"8.0";
"26.05.2025 12:30";"18.0";"969.4";"1001.0";"49";"Ветер, дующий с запада";"7";"";"";"";"Рассеянная (40-50%) 1200 м, кучево-дождевые облака";"10.0 и более";"7.0";
